Title,Author,Publisher,Date,Genre,Length,ISBN
My Brilliant Friend,Elena Ferrante,Europa Editions,2011,Fiction,336 pp,9781609450786
The Warmth of Other Suns,Isabel Wilkerson,Random House,2010,History,640 pp,9780679444329
Wolf Hall,Hilary Mantel,Fourth Estate,2009,Historical fiction,653 pp,9780007230204
The Known World,Edward P. Jones,Amistad Press,2003,Fiction,432 pp,9780060557546
The Corrections,Jonathan Franzen,"Farrar, Straus and Giroux",2001,Fiction,568 pp,9780374100124
2666,Roberto Bolaño,"Farrar, Straus and Giroux",2004,Fiction,912 pp,9780374100148
The Underground Railroad,Colson Whitehead,Doubleday,2016,Fiction,320 pp,9780385542364
Austerlitz,W. G. Sebald,Hamish Hamilton,2001,Fiction,416 pp,9780241141250
Never Let Me Go,Kazuo Ishiguro,Faber & Faber,2005,Dystopian fiction,288 pp,9780571224135
Gilead,Marilynne Robinson,"Farrar, Straus and Giroux",2004,Fiction,256 pp,9780374153892
The Brief Wondrous Life of Oscar Wao,Junot Díaz,Riverhead Books,2007,Fiction,340 pp,9781594483295
The Year of Magical Thinking,Joan Didion,Alfred A. Knopf,2005,Memoir,227 pp,9781400078431
The Road,Cormac McCarthy,Alfred A. Knopf,2006,Dystopian fiction,287 pp,9780307265432
Outline,Rachel Cusk,"Farrar, Straus and Giroux",2014,Fiction,249 pp,9780374228347
Pachinko,Min Jin Lee,Grand Central Publishing,2017,Historical fiction,496 pp,9781455563937
The Amazing Adventures of Kavalier & Clay,Michael Chabon,Random House,2000,Fiction,639 pp,9780679450047
The Sellout,Paul Beatty,"Farrar, Straus and Giroux",2015,Satire,304 pp,9780374260507
Lincoln in the Bardo,George Saunders,Random House,2017,Historical fiction,368 pp,9780812995343
Say Nothing,Patrick Radden Keefe,Doubleday,2019,Non-fiction,464 pp,9780385521314
Erasure,Percival Everett,University Press of New England,2001,Satire,263 pp,9781584650614
Evicted: Poverty and Profit in the American City,Matthew Desmond,Crown Publishing Group,2016,Non-fiction,418 pp,9780553447439
Behind the Beautiful Forevers,Katherine Boo,Random House,2012,Non-fiction,288 pp,9781400067558
"Hateship, Friendship, Courtship, Loveship, Marriage",Alice Munro,McClelland & Stewart,2001,Short stories,320 pp,9780771065255
The Overstory,Richard Powers,W. W. Norton & Company,2018,Fiction,512 pp,9780393635522
Random Family,Adrian Nicole LeBlanc,Charles Scribner's Sons,2003,Non-fiction,432 pp,9780743254434
Atonement,Ian McEwan,Jonathan Cape,2001,Fiction,371 pp,9780224061148
Americanah,Chimamanda Ngozi Adichie,Alfred A. Knopf,2013,Fiction,477 pp,9780307271082
Cloud Atlas,David Mitchell,Sceptre,2004,Fiction,544 pp,9780340822784
The Last Samurai,Helen DeWitt,New Directions Publishing,2000,Fiction,530 pp,9780811215473
"Sing, Unburied, Sing",Jesmyn Ward,Scribner,2017,Fiction,304 pp,9781501126062
White Teeth,Zadie Smith,Hamish Hamilton,2000,Postcolonial Literature,448 pp,9780241139974
The Line of Beauty,Alan Hollinghurst,Picador,2004,Fiction,501 pp,9780330483216
Salvage the Bones,Jesmyn Ward,Bloomsbury Publishing,2011,Fiction,258 pp,9781608196265
Citizen: An American Lyric,Claudia Rankine,Graywolf Press,2014,"Poetry, non-fiction",160 pp,9781555976903
Fun Home,Alison Bechdel,Houghton Mifflin,2006,"Graphic novel, memoir",232 pp,9780618477944
Between the World and Me,Ta-Nehisi Coates,Spiegel & Grau,2015,Non-fiction,176 pp,9780812993547
The Years,Annie Ernaux,Seven Stories Press,2008,Memoir,256 pp,9781609807870
The Savage Detectives,Roberto Bolaño,"Farrar, Straus and Giroux",2007,Fiction,577 pp,9780374191481
A Visit from the Goon Squad,Jennifer Egan,Alfred A. Knopf,2010,Fiction,352 pp,9780307592835
H is for Hawk,Helen Macdonald,Jonathan Cape,2014,Memoir,300 pp,9780224097000
Small Things like These,Claire Keegan,Faber & Faber,2021,Fiction,128 pp,9780571368686
A Brief History of Seven Killings,Marlon James,Riverhead Books,2014,Fiction,688 pp,9781594486005
Postwar: A History of Europe Since 1945,Tony Judt,Penguin Press,2005,"History, Non-fiction",960 pp,9781594200656
The Fifth Season,N. K. Jemisin,Orbit,2015,"Science fiction,Fantasy",512 pp,9780316229296
The Argonauts,Maggie Nelson,Graywolf Press,2015,Memoir,160 pp,9781555977078
The Goldfinch,Donna Tartt,"Little, Brown and Company",2013,Fiction,784 pp,9780316055437
A Mercy,Toni Morrison,Alfred A. Knopf,2008,Fiction,176 pp,9780307264237
Persepolis,Marjane Satrapi,Pantheon Books,2003,"Graphic novel, Memoir",153 pp,9780375714573
The Vegetarian,Han Kang,Hogarth,2007,Fiction,160 pp,9781101906118
Trust,Hernan Diaz,Riverhead Books,2022,Fiction,416 pp,9780593420317
Life After Life,Kate Atkinson,Reagan Arthur Books,2013,Fiction,544 pp,9780316176484
Train Dreams,Denis Johnson,"Farrar, Straus and Giroux",2011,Novella,128 pp,9780374281144
Runaway,Alice Munro,McClelland & Stewart,2004,Short stories,352 pp,9780771065064
Tenth of December: Stories,George Saunders,Random House,2013,Short stories,251 pp,9780812993806
The Looming Tower,Lawrence Wright,Alfred A. Knopf,2006,Non-fiction,480 pp,9780375414862
The Flamethrowers,Rachel Kushner,Scribner,2013,Fiction,383 pp,9781439142004
Nickel and Dimed,Barbara Ehrenreich,Metropolitan Books,2001,Non-fiction,240 pp,9780805063899
Stay True,Hua Hsu,Doubleday,2022,Memoir,208 pp,9780385547772
Middlesex,Jeffrey Eugenides,"Farrar, Straus and Giroux",2002,Family saga,529 pp,9780374191917
Heavy: An American Memoir,Kiese Laymon,Scribner,2018,Memoir,256 pp,9781501125652
Demon Copperhead,Barbara Kingsolver,HarperCollins,2022,Fiction,560 pp,9780063251922
10:04,Ben Lerner,Faber & Faber,2014,Fiction,256 pp,9780865478107
Veronica,Mary Gaitskill,Pantheon Books,2005,Fiction,257 pp,9780375421457
The Great Believers,Rebecca Makkai,Viking Press,2018,Fiction,421 pp,9780735223523
The Plot Against America,Philip Roth,Houghton Mifflin,2004,Fiction,391 pp,9780618509287
We the Animals,Justin Torres,Houghton Mifflin Harcourt,2011,Fiction,128 pp,9780547576725
Far from the Tree,Andrew Solomon,Scribner,2012,Non-fiction,976 pp,9780743236720
The Friend,Sigrid Nunez,Riverhead Books,2018,Fiction,224 pp,9780735219441
The New Jim Crow,Michelle Alexander,The New Press,2010,Non-fiction,336 pp,9781595586438
All Aunt Hagar's Children,Edward P. Jones,Amistad,2006,Short stories,400 pp,9780060557560
The Copenhagen Trilogy,Tove Ditlevsen,"Farrar, Straus and Giroux",2019 (English translation),Memoir,384 pp,9780374602390
Secondhand Time,Svetlana Alexievich,Fitzcarraldo Editions,2013 (English translation),Non-fiction,470 pp,9781910695111
The Passage of Power,Robert A. Caro,Alfred A. Knopf,2012,Biography,736 pp,9780375713255
Olive Kitteridge,Elizabeth Strout,Random House,2008,Fiction,288 pp,9781400062089
Exit West,Mohsin Hamid,Riverhead Books,2017,Fiction,240 pp,9780735212176
An American Marriage,Tayari Jones,Algonquin Books,2018,Fiction,320 pp,9781616208776
Septology,Jon Fosse,Fitzcarraldo Editions,2019 (English translation),Fiction,832 pp,9781913097011
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Knopf,2022,Fiction,416 pp,9780593321201
A Manual for Cleaning Women,Lucia Berlin,"Farrar, Straus and Giroux",2015,Short stories,432 pp,9780374270605
The Story of the Lost Child,Elena Ferrante,Europa Editions,2014,Fiction,480 pp,9781609452865
Pulphead,John Jeremiah Sullivan,"Farrar, Straus and Giroux",2011,"Non-fiction, Essays",384 pp,9780374532901
Hurricane Season,Fernanda Melchor,New Directions Publishing,2020 (English translation),Fiction,224 pp,9780811228039
When We Cease to Understand the World,Benjamín Labatut,New York Review Books,2020 (English translation),"Fiction, Non-fiction",192 pp,9781681375663
The Emperor of All Maladies,Siddhartha Mukherjee,Scribner,2010,Non-fiction,608 pp,9781439107959
Pastoralia,George Saunders,Riverhead Books,2000,Short stories,208 pp,9781573221610
Frederick Douglass: Prophet of Freedom,David W. Blight,Simon & Schuster,2018,Biography,912 pp,9781416590316
"Detransition, Baby",Torrey Peters,One World,2021,Fiction,368 pp,9780593133378
The Collected Stories of Lydia Davis,Lydia Davis,"Farrar, Straus and Giroux",2009,Short stories,752 pp,9780374270605
The Return,Hisham Matar,Random House,2016,Memoir,256 pp,9780812994827
The Sympathizer,Viet Thanh Nguyen,Grove Press,2015,Fiction,384 pp,9780802123459
The Human Stain,Philip Roth,Houghton Mifflin,2000,Fiction,361 pp,9780618059454
The Days of Abandonment,Elena Ferrante,Europa Editions,2002 (English translation 2005),Fiction,192 pp,9781933372006
Station Eleven,Emily St. John Mandel,Alfred A. Knopf,2014,Dystopian fiction,336 pp,9780385353304
On Beauty,Zadie Smith,Penguin Press,2005,Fiction,464 pp,9781594200632
Bring Up the Bodies,Hilary Mantel,Fourth Estate,2012,Historical fiction,432 pp,9780007315093
"Wayward Lives, Beautiful Experiments",Saidiya Hartman,W. W. Norton & Company,2019,Non-fiction,432 pp,9780393285673
Men We Reaped,Jesmyn Ward,Bloomsbury,2013,Memoir,272 pp,9781608195213
Bel Canto,Ann Patchett,HarperCollins,2001,Fiction,352 pp,9780060188733
How to Be Both,Ali Smith,Hamish Hamilton,2014,Fiction,384 pp,9780241145210
Tree of Smoke,Denis Johnson,"Farrar, Straus and Giroux",2007,Fiction,624 pp,9780374279127
